"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	20	0	"ROOT"
"2"	1	2	20	0	"GENETIC"
"3"	1	3	20	0	"GENETIC"
"4"	1	4	20	0	"GENETIC"
"5"	1	5	20	0	"GENETIC"
"6"	1	6	17	0	"Genetic"
"7"	2	7	16	0	"Genetic"
"8"	5	8	16	0	"Genetic"
"9"	4	9	15	0	"Genetic"
"10"	4	10	15	0	"Genetic"
"11"	4	11	15	8	"Genetic"
"12"	5	12	15	0	"Genetic"
"13"	2	13	14	0	"Genetic"
"14"	3	14	14	10	"Genetic"
"15"	4	15	14	0	"Genetic"
"16"	12	16	14	0	"Genetic"
"17"	12	17	14	0	"Genetic"
"18"	12	18	14	0	"Genetic"
"19"	2	19	13	0	"Genetic"
"20"	2	20	13	0	"Genetic"
"21"	3	21	13	2	"Genetic"
"22"	4	22	13	0	"Genetic"
"23"	6	23	13	0	"Genetic"
"24"	7	24	13	0	"Genetic"
"25"	7	25	13	0	"Genetic"
"26"	8	26	13	0	"Genetic"
"27"	8	27	13	3	"Genetic"
"28"	3	28	12	0	"Genetic"
"29"	6	29	12	0	"Genetic"
"30"	7	30	12	0	"Genetic"
"31"	9	31	12	0	"Genetic"
"32"	10	32	12	0	"Genetic"
"33"	10	33	12	3	"Genetic"
"34"	11	34	12	0	"Genetic"
"35"	18	35	12	0	"Genetic"
"36"	23	36	12	0	"Genetic"
"37"	1	37	11	0	"Genetic"
"38"	2	38	11	0	"Genetic"
"39"	3	39	11	0	"Genetic"
"40"	8	40	11	0	"Genetic"
"41"	9	41	11	0	"Genetic"
"42"	10	42	11	0	"Genetic"
"43"	11	43	11	3	"Genetic"
"44"	12	44	11	0	"Genetic"
"45"	13	45	11	0	"Genetic"
"46"	15	46	11	0	"Genetic"
"47"	17	47	11	0	"Genetic"
"48"	18	48	11	0	"Genetic"
"49"	18	49	11	0	"Genetic"
"50"	18	50	11	0	"Genetic"
"51"	19	51	11	0	"Genetic"
"52"	26	52	11	0	"Genetic"
"53"	31	53	11	0	"Genetic"
"54"	32	54	11	0	"Genetic"
"55"	35	55	11	0	"Genetic"
"56"	8	56	10	0	"Genetic"
"57"	13	57	10	0	"Genetic"
"58"	19	58	10	0	"Genetic"
"59"	20	59	10	2	"Genetic"
"60"	22	60	10	0	"Genetic"
"61"	23	61	10	0	"Genetic"
"62"	29	62	10	0	"Genetic"
"63"	29	63	10	4	"Genetic"
"64"	29	64	10	0	"Genetic"
"65"	29	65	10	10	"Genetic"
"66"	49	66	10	0	"Genetic"
"67"	1	67	9	0	"Genetic"
"68"	10	68	9	0	"Genetic"
"69"	12	69	9	0	"Genetic"
"70"	16	70	9	0	"Genetic"
"71"	17	71	9	0	"Genetic"
"72"	17	72	9	0	"Genetic"
"73"	18	73	9	0	"Genetic"
"74"	20	74	9	0	"Genetic"
"75"	24	75	9	0	"Genetic"
"76"	25	76	9	0	"Genetic"
"77"	27	77	9	0	"Genetic"
"78"	27	78	9	0	"Genetic"
"79"	28	79	9	0	"Genetic"
"80"	29	80	9	0	"Genetic"
"81"	32	81	9	0	"Genetic"
"82"	35	82	9	2	"Genetic"
"83"	44	83	9	0	"Genetic"
"84"	48	84	9	0	"Genetic"
"85"	52	85	9	0	"Genetic"
"86"	55	86	9	0	"Genetic"
"87"	1	87	8	0	"Genetic"
"88"	1	88	8	0	"Genetic"
"89"	1	89	8	0	"Genetic"
"90"	2	90	8	0	"Genetic"
"91"	2	91	8	0	"Genetic"
"92"	8	92	8	0	"Genetic"
"93"	10	93	8	0	"Genetic"
"94"	10	94	8	8	"Genetic"
"95"	11	95	8	0	"Genetic"
"96"	13	96	8	0	"Genetic"
"97"	18	97	8	0	"Genetic"
"98"	22	98	8	0	"Genetic"
"99"	24	99	8	0	"Genetic"
"100"	27	100	8	2	"Genetic"
"101"	30	101	8	0	"Genetic"
"102"	31	102	8	0	"Genetic"
"103"	34	103	8	0	"Genetic"
"104"	36	104	8	0	"Genetic"
"105"	37	105	8	0	"Genetic"
"106"	38	106	8	0	"Genetic"
"107"	42	107	8	0	"Genetic"
"108"	45	108	8	0	"Genetic"
"109"	45	109	8	0	"Genetic"
"110"	47	110	8	3	"Genetic"
"111"	50	111	8	2	"Genetic"
"112"	55	112	8	1	"Genetic"
"113"	62	113	8	8	"Genetic"
"114"	64	114	8	0	"Genetic"
"115"	70	115	8	0	"Genetic"
"116"	72	116	8	0	"Genetic"
"117"	76	117	8	0	"Genetic"
"118"	80	118	8	0	"Genetic"
"119"	81	119	8	1	"Genetic"
"120"	85	120	8	0	"Genetic"
"121"	1	121	7	0	"Genetic"
"122"	3	122	7	1	"Genetic"
"123"	6	123	7	0	"Genetic"
"124"	6	124	7	0	"Genetic"
"125"	7	125	7	0	"Genetic"
"126"	15	126	7	0	"Genetic"
"127"	16	127	7	0	"Genetic"
"128"	19	128	7	0	"Genetic"
"129"	22	129	7	3	"Genetic"
"130"	23	130	7	2	"Genetic"
"131"	32	131	7	0	"Genetic"
"132"	35	132	7	0	"Genetic"
"133"	36	133	7	0	"Genetic"
"134"	37	134	7	0	"Genetic"
"135"	37	135	7	0	"Genetic"
"136"	37	136	7	0	"Genetic"
"137"	37	137	7	0	"Genetic"
"138"	37	138	7	0	"Genetic"
"139"	37	139	7	0	"Genetic"
"140"	38	140	7	0	"Genetic"
"141"	38	141	7	0	"Genetic"
"142"	38	142	7	0	"Genetic"
"143"	39	143	7	0	"Genetic"
"144"	42	144	7	0	"Genetic"
"145"	43	145	7	2	"Genetic"
"146"	45	146	7	0	"Genetic"
"147"	47	147	7	0	"Genetic"
"148"	49	148	7	0	"Genetic"
"149"	51	149	7	0	"Genetic"
"150"	51	150	7	0	"Genetic"
"151"	51	151	7	0	"Genetic"
"152"	51	152	7	0	"Genetic"
"153"	53	153	7	0	"Genetic"
"154"	57	154	7	0	"Genetic"
"155"	57	155	7	0	"Genetic"
"156"	64	156	7	0	"Genetic"
"157"	66	157	7	0	"Genetic"
"158"	70	158	7	0	"Genetic"
"159"	70	159	7	0	"Genetic"
"160"	81	160	7	0	"Genetic"
"161"	82	161	7	0	"Genetic"
"162"	86	162	7	4	"Genetic"
"163"	97	163	7	0	"Genetic"
"164"	101	164	7	0	"Genetic"
"165"	105	165	7	0	"Genetic"
"166"	107	166	7	0	"Genetic"
"167"	111	167	7	0	"Genetic"
"168"	115	168	7	0	"Genetic"
"169"	120	169	7	0	"Genetic"
"170"	1	170	6	0	"Genetic"
"171"	3	171	6	0	"Genetic"
"172"	4	172	6	0	"Genetic"
"173"	5	173	6	0	"Genetic"
"174"	6	174	6	0	"Genetic"
"175"	6	175	6	0	"Genetic"
"176"	7	176	6	2	"Genetic"
"177"	8	177	6	0	"Genetic"
"178"	9	178	6	0	"Genetic"
"179"	9	179	6	0	"Genetic"
"180"	12	180	6	0	"Genetic"
"181"	13	181	6	0	"Genetic"
"182"	13	182	6	0	"Genetic"
"183"	15	183	6	0	"Genetic"
"184"	15	184	6	0	"Genetic"
"185"	16	185	6	0	"Genetic"
"186"	16	186	6	0	"Genetic"
"187"	19	187	6	0	"Genetic"
"188"	23	188	6	0	"Genetic"
"189"	25	189	6	0	"Genetic"
"190"	26	190	6	0	"Genetic"
"191"	27	191	6	0	"Genetic"
"192"	29	192	6	0	"Genetic"
"193"	29	193	6	0	"Genetic"
"194"	29	194	6	3	"Genetic"
"195"	37	195	6	0	"Genetic"
"196"	38	196	6	2	"Genetic"
"197"	38	197	6	1	"Genetic"
"198"	38	198	6	0	"Genetic"
"199"	46	199	6	4	"Genetic"
"200"	50	200	6	0	"Genetic"
"201"	51	201	6	0	"Genetic"
"202"	53	202	6	3	"Genetic"
"203"	53	203	6	0	"Genetic"
"204"	56	204	6	0	"Genetic"
"205"	56	205	6	0	"Genetic"
"206"	58	206	6	0	"Genetic"
"207"	59	207	6	0	"Genetic"
"208"	68	208	6	5	"Genetic"
"209"	69	209	6	0	"Genetic"
"210"	71	210	6	0	"Genetic"
"211"	75	211	6	0	"Genetic"
"212"	75	212	6	0	"Genetic"
"213"	77	213	6	0	"Genetic"
"214"	80	214	6	0	"Genetic"
"215"	80	215	6	0	"Genetic"
"216"	83	216	6	4	"Genetic"
"217"	86	217	6	0	"Genetic"
"218"	88	218	6	0	"Genetic"
"219"	95	219	6	3	"Genetic"
"220"	95	220	6	0	"Genetic"
"221"	110	221	6	0	"Genetic"
"222"	116	222	6	0	"Genetic"
"223"	118	223	6	3	"Genetic"
"224"	120	224	6	0	"Genetic"
"225"	128	225	6	0	"Genetic"
