"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	20	0	"ROOT"
"2"	2	2	20	1	"ROOT"
"3"	3	3	20	0	"ROOT"
"4"	4	4	20	0	"ROOT"
"5"	5	5	20	0	"ROOT"
"6"	2	6	16	1	"Genetic"
"7"	3	7	16	0	"Genetic"
"8"	5	8	16	0	"Genetic"
"9"	1	9	15	0	"Genetic"
"10"	2	10	15	0	"Genetic"
"11"	2	11	15	0	"Genetic"
"12"	7	12	15	0	"Genetic"
"13"	7	13	15	0	"Genetic"
"14"	1	14	13	0	"Genetic"
"15"	9	15	13	0	"Genetic"
"16"	13	16	13	0	"Genetic"
"17"	1	17	12	0	"Genetic"
"18"	2	18	12	0	"Genetic"
"19"	4	19	12	0	"Genetic"
"20"	4	20	12	0	"Genetic"
"21"	4	21	12	0	"Genetic"
"22"	5	22	12	0	"Genetic"
"23"	6	23	12	1	"Genetic"
"24"	6	24	12	0	"Genetic"
"25"	7	25	12	0	"Genetic"
"26"	7	26	12	0	"Genetic"
"27"	15	27	12	9	"Genetic"
"28"	3	28	11	0	"Genetic"
"29"	3	29	11	0	"Genetic"
"30"	3	30	11	0	"Genetic"
"31"	3	31	11	0	"Genetic"
"32"	4	32	11	0	"Genetic"
"33"	6	33	11	1	"Genetic"
"34"	7	34	11	0	"Genetic"
"35"	9	35	11	9	"Genetic"
"36"	9	36	11	0	"Genetic"
"37"	17	37	11	0	"Genetic"
"38"	6	38	10	0	"Genetic"
"39"	6	39	10	1	"Genetic"
"40"	6	40	10	1	"Genetic"
"41"	7	41	10	0	"Genetic"
"42"	8	42	10	0	"Genetic"
"43"	8	43	10	9	"Genetic"
"44"	8	44	10	0	"Genetic"
"45"	8	45	10	0	"Genetic"
"46"	9	46	10	0	"Genetic"
"47"	9	47	10	0	"Genetic"
"48"	17	48	10	0	"Genetic"
"49"	18	49	10	0	"Genetic"
"50"	22	50	10	0	"Genetic"
"51"	22	51	10	0	"Genetic"
"52"	22	52	10	0	"Genetic"
"53"	22	53	10	0	"Genetic"
"54"	22	54	10	0	"Genetic"
"55"	22	55	10	0	"Genetic"
"56"	22	56	10	0	"Genetic"
"57"	1	57	9	0	"Genetic"
"58"	2	58	9	0	"Genetic"
"59"	2	59	9	1	"Genetic"
"60"	2	60	9	0	"Genetic"
"61"	3	61	9	0	"Genetic"
"62"	3	62	9	1	"Genetic"
"63"	5	63	9	0	"Genetic"
"64"	7	64	9	1	"Genetic"
"65"	9	65	9	0	"Genetic"
"66"	12	66	9	9	"Genetic"
"67"	12	67	9	0	"Genetic"
"68"	13	68	9	1	"Genetic"
"69"	15	69	9	1	"Genetic"
"70"	17	70	9	0	"Genetic"
"71"	18	71	9	0	"Genetic"
"72"	20	72	9	1	"Genetic"
"73"	23	73	9	0	"Genetic"
"74"	28	74	9	0	"Genetic"
"75"	28	75	9	0	"Genetic"
"76"	42	76	9	0	"Genetic"
"77"	44	77	9	0	"Genetic"
"78"	49	78	9	0	"Genetic"
"79"	56	79	9	0	"Genetic"
"80"	56	80	9	0	"Genetic"
"81"	1	81	8	0	"Genetic"
"82"	1	82	8	0	"Genetic"
"83"	1	83	8	0	"Genetic"
"84"	4	84	8	0	"Genetic"
"85"	4	85	8	0	"Genetic"
"86"	4	86	8	0	"Genetic"
"87"	4	87	8	0	"Genetic"
"88"	4	88	8	0	"Genetic"
"89"	5	89	8	0	"Genetic"
"90"	6	90	8	1	"Genetic"
"91"	6	91	8	0	"Genetic"
"92"	6	92	8	0	"Genetic"
"93"	6	93	8	0	"Genetic"
"94"	6	94	8	0	"Genetic"
"95"	7	95	8	0	"Genetic"
"96"	7	96	8	0	"Genetic"
"97"	7	97	8	0	"Genetic"
"98"	7	98	8	0	"Genetic"
"99"	7	99	8	0	"Genetic"
"100"	7	100	8	0	"Genetic"
"101"	7	101	8	0	"Genetic"
"102"	7	102	8	0	"Genetic"
"103"	8	103	8	0	"Genetic"
"104"	12	104	8	0	"Genetic"
"105"	12	105	8	0	"Genetic"
"106"	12	106	8	0	"Genetic"
"107"	12	107	8	0	"Genetic"
"108"	14	108	8	0	"Genetic"
"109"	15	109	8	8	"Genetic"
"110"	15	110	8	0	"Genetic"
"111"	18	111	8	0	"Genetic"
"112"	22	112	8	0	"Genetic"
"113"	24	113	8	1	"Genetic"
"114"	24	114	8	1	"Genetic"
"115"	24	115	8	1	"Genetic"
"116"	24	116	8	1	"Genetic"
"117"	33	117	8	1	"Genetic"
"118"	37	118	8	0	"Genetic"
"119"	47	119	8	1	"Genetic"
"120"	57	120	8	0	"Genetic"
"121"	59	121	8	0	"Genetic"
"122"	71	122	8	0	"Genetic"
"123"	71	123	8	0	"Genetic"
"124"	71	124	8	0	"Genetic"
"125"	71	125	8	0	"Genetic"
"126"	78	126	8	0	"Genetic"
"127"	80	127	8	0	"Genetic"
"128"	80	128	8	0	"Genetic"
"129"	1	129	7	1	"Genetic"
"130"	3	130	7	0	"Genetic"
"131"	3	131	7	0	"Genetic"
"132"	3	132	7	0	"Genetic"
"133"	7	133	7	0	"Genetic"
"134"	8	134	7	0	"Genetic"
"135"	8	135	7	0	"Genetic"
"136"	8	136	7	0	"Genetic"
"137"	8	137	7	0	"Genetic"
