"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	50	0	"ROOT"
"2"	2	2	50	0	"ROOT"
"3"	3	3	50	0	"ROOT"
"4"	4	4	50	0	"ROOT"
"5"	1	5	43	0	"Genetic"
"6"	5	6	41	0	"Genetic"
"7"	1	7	36	0	"Genetic"
"8"	5	8	36	0	"Genetic"
"9"	7	9	28	0	"Genetic"
"10"	8	10	28	0	"Genetic"
"11"	1	11	26	0	"Genetic"
"12"	1	12	26	0	"Genetic"
"13"	5	13	26	0	"Genetic"
"14"	12	14	23	0	"Genetic"
"15"	11	15	19	0	"Genetic"
"16"	7	16	18	0	"Genetic"
"17"	4	17	16	0	"Genetic"
"18"	5	18	16	0	"Genetic"
"19"	8	19	16	0	"Genetic"
"20"	9	20	16	0	"Genetic"
"21"	1	21	15	0	"Genetic"
"22"	13	22	12	0	"Genetic"
"23"	8	23	11	0	"Genetic"
"24"	15	24	11	0	"Genetic"
"25"	2	25	9	0	"Genetic"
"26"	13	26	9	0	"Genetic"
"27"	6	27	8	0	"Genetic"
"28"	12	28	8	0	"Genetic"
"29"	26	29	8	0	"Genetic"
"30"	7	30	7	0	"Genetic"
"31"	23	31	7	0	"Genetic"
"32"	2	32	6	0	"Genetic"
"33"	4	33	6	0	"Genetic"
"34"	6	34	6	0	"Genetic"
"35"	7	35	6	0	"Genetic"
"36"	9	36	6	0	"Genetic"
"37"	11	37	6	0	"Genetic"
"38"	12	38	6	0	"Genetic"
"39"	17	39	6	0	"Genetic"
"40"	18	40	6	0	"Genetic"
"41"	20	41	6	0	"Genetic"
"42"	1	42	5	0	"Genetic"
"43"	5	43	5	0	"Genetic"
"44"	8	44	5	0	"Genetic"
"45"	14	45	5	0	"Genetic"
"46"	19	46	5	0	"Genetic"
"47"	24	47	5	0	"Genetic"
"48"	28	48	5	0	"Genetic"
"49"	10	49	3	0	"Genetic"
"50"	40	50	3	0	"Genetic"
"51"	30	51	1	0	"Genetic"
"52"	22	52	0	0	"Genetic"
